Name,Gender,Race/Ethnicity,Count,Rank,Year
ABIGAIL,FEMALE,WHITE NON HISP,113,19,2012
ADA,FEMALE,WHITE NON HISP,14,79,2012
ADDISON,FEMALE,WHITE NON HISP,32,61,2012
ADELAIDE,FEMALE,WHITE NON HISP,19,74,2012
ADELE,FEMALE,WHITE NON HISP,15,78,2012
ADINA,FEMALE,WHITE NON HISP,20,73,2012
ADRIANA,FEMALE,WHITE NON HISP,43,50,2012
ADRIANNA,FEMALE,WHITE NON HISP,23,70,2012
AHUVA,FEMALE,WHITE NON HISP,15,78,2012
ALANA,FEMALE,WHITE NON HISP,12,81,2012
ALESSANDRA,FEMALE,WHITE NON HISP,15,78,2012
ALESSIA,FEMALE,WHITE NON HISP,16,77,2012
ALEXA,FEMALE,WHITE NON HISP,56,40,2012
ALEXANDRA,FEMALE,WHITE NON HISP,110,20,2012
ALEXANDRIA,FEMALE,WHITE NON HISP,10,83,2012
ALEXIS,FEMALE,WHITE NON HISP,23,70,2012
ALICE,FEMALE,WHITE NON HISP,54,42,2012
ALINA,FEMALE,WHITE NON HISP,16,77,2012
ALISA,FEMALE,WHITE NON HISP,12,81,2012
ALIZA,FEMALE,WHITE NON HISP,20,73,2012
ALLISON,FEMALE,WHITE NON HISP,16,77,2012
ALMA,FEMALE,WHITE NON HISP,10,83,2012
ALYSSA,FEMALE,WHITE NON HISP,22,71,2012
AMALIA,FEMALE,WHITE NON HISP,11,82,2012
AMANDA,FEMALE,WHITE NON HISP,17,76,2012
AMELIA,FEMALE,WHITE NON HISP,86,28,2012
AMELIE,FEMALE,WHITE NON HISP,11,82,2012
AMINA,FEMALE,WHITE NON HISP,16,77,2012
AMIRA,FEMALE,WHITE NON HISP,13,80,2012
AMY,FEMALE,WHITE NON HISP,13,80,2012
ANASTASIA,FEMALE,WHITE NON HISP,19,74,2012
ANGELINA,FEMALE,WHITE NON HISP,48,45,2012
ANNA,FEMALE,WHITE NON HISP,90,27,2012
ANNABEL,FEMALE,WHITE NON HISP,11,82,2012
ANNABELLE,FEMALE,WHITE NON HISP,14,79,2012
ANNE,FEMALE,WHITE NON HISP,12,81,2012
ANTONIA,FEMALE,WHITE NON HISP,12,81,2012
ARIA,FEMALE,WHITE NON HISP,17,76,2012
ARIANA,FEMALE,WHITE NON HISP,29,64,2012
ARIANNA,FEMALE,WHITE NON HISP,29,64,2012
ARIEL,FEMALE,WHITE NON HISP,11,82,2012
ARIELLA,FEMALE,WHITE NON HISP,28,65,2012
ARIELLE,FEMALE,WHITE NON HISP,16,77,2012
ASHLEY,FEMALE,WHITE NON HISP,29,64,2012
ATHENA,FEMALE,WHITE NON HISP,12,81,2012
AUBREY,FEMALE,WHITE NON HISP,10,83,2012
AUDREY,FEMALE,WHITE NON HISP,38,55,2012
AVA,FEMALE,WHITE NON HISP,165,8,2012
AVERY,FEMALE,WHITE NON HISP,76,31,2012
AVIGAIL,FEMALE,WHITE NON HISP,13,80,2012
AVIVA,FEMALE,WHITE NON HISP,12,81,2012
AYA,FEMALE,WHITE NON HISP,11,82,2012
AYLA,FEMALE,WHITE NON HISP,18,75,2012
BAILA,FEMALE,WHITE NON HISP,45,48,2012
BATSHEVA,FEMALE,WHITE NON HISP,57,39,2012
BEATRICE,FEMALE,WHITE NON HISP,29,64,2012
BELLA,FEMALE,WHITE NON HISP,22,71,2012
BIANCA,FEMALE,WHITE NON HISP,10,83,2012
BLIMA,FEMALE,WHITE NON HISP,37,56,2012
BLIMY,FEMALE,WHITE NON HISP,21,72,2012
BRACHA,FEMALE,WHITE NON HISP,33,60,2012
BREINDY,FEMALE,WHITE NON HISP,12,81,2012
BRIANNA,FEMALE,WHITE NON HISP,24,69,2012
BROOKE,FEMALE,WHITE NON HISP,26,67,2012
BRUCHY,FEMALE,WHITE NON HISP,21,72,2012
CAITLIN,FEMALE,WHITE NON HISP,10,83,2012
CAROLINA,FEMALE,WHITE NON HISP,10,83,2012
CAROLINE,FEMALE,WHITE NON HISP,48,45,2012
CASSANDRA,FEMALE,WHITE NON HISP,10,83,2012
CATHERINE,FEMALE,WHITE NON HISP,33,60,2012
CECILIA,FEMALE,WHITE NON HISP,28,65,2012
CELIA,FEMALE,WHITE NON HISP,11,82,2012
CHANA,FEMALE,WHITE NON HISP,155,9,2012
CHANIE,FEMALE,WHITE NON HISP,10,83,2012
CHANY,FEMALE,WHITE NON HISP,44,49,2012
CHARLOTTE,FEMALE,WHITE NON HISP,126,15,2012
CHAVA,FEMALE,WHITE NON HISP,38,55,2012
CHAVY,FEMALE,WHITE NON HISP,14,79,2012
CHAYA,FEMALE,WHITE NON HISP,174,7,2012
CHELSEA,FEMALE,WHITE NON HISP,14,79,2012
CHLOE,FEMALE,WHITE NON HISP,96,24,2012
CHRISTINA,FEMALE,WHITE NON HISP,15,78,2012
CLAIRE,FEMALE,WHITE NON HISP,45,48,2012
CLARA,FEMALE,WHITE NON HISP,42,51,2012
COLETTE,FEMALE,WHITE NON HISP,17,76,2012
CORA,FEMALE,WHITE NON HISP,17,76,2012
DAHLIA,FEMALE,WHITE NON HISP,15,78,2012
DAISY,FEMALE,WHITE NON HISP,11,82,2012
DALIA,FEMALE,WHITE NON HISP,11,82,2012
DANIELA,FEMALE,WHITE NON HISP,10,83,2012
DANIELLA,FEMALE,WHITE NON HISP,34,59,2012
DANIELLE,FEMALE,WHITE NON HISP,13,80,2012
DAPHNE,FEMALE,WHITE NON HISP,16,77,2012
DEVORA,FEMALE,WHITE NON HISP,16,77,2012
DEVORAH,FEMALE,WHITE NON HISP,37,56,2012
DIANA,FEMALE,WHITE NON HISP,20,73,2012
DINA,FEMALE,WHITE NON HISP,44,49,2012
DYLAN,FEMALE,WHITE NON HISP,23,70,2012
EDEN,FEMALE,WHITE NON HISP,26,67,2012
ELEANOR,FEMALE,WHITE NON HISP,45,48,2012
ELENA,FEMALE,WHITE NON HISP,20,73,2012
ELIANA,FEMALE,WHITE NON HISP,43,50,2012
ELISE,FEMALE,WHITE NON HISP,14,79,2012
ELISHEVA,FEMALE,WHITE NON HISP,17,76,2012
ELIZA,FEMALE,WHITE NON HISP,18,75,2012
ELIZABETH,FEMALE,WHITE NON HISP,116,18,2012
ELLA,FEMALE,WHITE NON HISP,148,11,2012
ELLE,FEMALE,WHITE NON HISP,20,73,2012
ELLIANA,FEMALE,WHITE NON HISP,11,82,2012
ELLIE,FEMALE,WHITE NON HISP,23,70,2012
ELOISE,FEMALE,WHITE NON HISP,31,62,2012
ELSA,FEMALE,WHITE NON HISP,14,79,2012
EMERSON,FEMALE,WHITE NON HISP,11,82,2012
EMILIA,FEMALE,WHITE NON HISP,44,49,2012
EMILY,FEMALE,WHITE NON HISP,137,12,2012
EMMA,FEMALE,WHITE NON HISP,228,1,2012
ESME,FEMALE,WHITE NON HISP,16,77,2012
ESTELLE,FEMALE,WHITE NON HISP,11,82,2012
ESTER,FEMALE,WHITE NON HISP,11,82,2012
ESTHER,FEMALE,WHITE NON HISP,192,5,2012
ESTY,FEMALE,WHITE NON HISP,12,81,2012
ETTY,FEMALE,WHITE NON HISP,19,74,2012
EVA,FEMALE,WHITE NON HISP,64,38,2012
EVANGELINE,FEMALE,WHITE NON HISP,15,78,2012
EVE,FEMALE,WHITE NON HISP,13,80,2012
EVELYN,FEMALE,WHITE NON HISP,52,43,2012
