Name,Gender,Race/Ethnicity,Count,Rank,Year
AALIYAH,FEMALE,BLACK NON HISP,55,10,2012
ABIGAIL,FEMALE,BLACK NON HISP,66,5,2012
ADRIANNA,FEMALE,BLACK NON HISP,11,46,2012
AICHA,FEMALE,BLACK NON HISP,14,43,2012
AISHA,FEMALE,BLACK NON HISP,19,38,2012
AISSATOU,FEMALE,BLACK NON HISP,13,44,2012
ALANA,FEMALE,BLACK NON HISP,25,32,2012
ALANI,FEMALE,BLACK NON HISP,13,44,2012
ALEXA,FEMALE,BLACK NON HISP,12,45,2012
ALEXIS,FEMALE,BLACK NON HISP,12,45,2012
ALICIA,FEMALE,BLACK NON HISP,15,42,2012
ALIYAH,FEMALE,BLACK NON HISP,20,37,2012
ALYSSA,FEMALE,BLACK NON HISP,30,28,2012
AMANDA,FEMALE,BLACK NON HISP,11,46,2012
AMAYA,FEMALE,BLACK NON HISP,37,21,2012
AMBER,FEMALE,BLACK NON HISP,10,47,2012
AMELIA,FEMALE,BLACK NON HISP,16,41,2012
AMINA,FEMALE,BLACK NON HISP,11,46,2012
AMINATA,FEMALE,BLACK NON HISP,20,37,2012
AMIRA,FEMALE,BLACK NON HISP,16,41,2012
AMIRAH,FEMALE,BLACK NON HISP,27,31,2012
AMIYAH,FEMALE,BLACK NON HISP,14,43,2012
ANGEL,FEMALE,BLACK NON HISP,14,43,2012
ANGELINA,FEMALE,BLACK NON HISP,13,44,2012
ANIYA,FEMALE,BLACK NON HISP,11,46,2012
ANIYAH,FEMALE,BLACK NON HISP,30,28,2012
ARIA,FEMALE,BLACK NON HISP,19,38,2012
ARIANA,FEMALE,BLACK NON HISP,19,38,2012
ARIANNA,FEMALE,BLACK NON HISP,38,20,2012
ARIEL,FEMALE,BLACK NON HISP,36,22,2012
ARIELLE,FEMALE,BLACK NON HISP,23,34,2012
ASHLEY,FEMALE,BLACK NON HISP,17,40,2012
AUBREE,FEMALE,BLACK NON HISP,14,43,2012
AUBREY,FEMALE,BLACK NON HISP,27,31,2012
AUTUMN,FEMALE,BLACK NON HISP,29,29,2012
AVA,FEMALE,BLACK NON HISP,48,13,2012
AWA,FEMALE,BLACK NON HISP,10,47,2012
AYANNA,FEMALE,BLACK NON HISP,13,44,2012
BELLA,FEMALE,BLACK NON HISP,14,43,2012
BINTOU,FEMALE,BLACK NON HISP,11,46,2012
BRIANNA,FEMALE,BLACK NON HISP,32,26,2012
BRIELLE,FEMALE,BLACK NON HISP,42,17,2012
CAMILLE,FEMALE,BLACK NON HISP,10,47,2012
CHELSEA,FEMALE,BLACK NON HISP,29,29,2012
CHEYENNE,FEMALE,BLACK NON HISP,10,47,2012
CHLOE,FEMALE,BLACK NON HISP,70,4,2012
CHRISTINA,FEMALE,BLACK NON HISP,14,43,2012
DANIELLE,FEMALE,BLACK NON HISP,10,47,2012
DEBORAH,FEMALE,BLACK NON HISP,10,47,2012
DESTINY,FEMALE,BLACK NON HISP,38,20,2012
ELISE,FEMALE,BLACK NON HISP,10,47,2012
ELIZABETH,FEMALE,BLACK NON HISP,31,27,2012
EMILY,FEMALE,BLACK NON HISP,35,23,2012
EMMA,FEMALE,BLACK NON HISP,27,31,2012
ERIN,FEMALE,BLACK NON HISP,11,46,2012
FAITH,FEMALE,BLACK NON HISP,42,17,2012
FANTA,FEMALE,BLACK NON HISP,16,41,2012
FATIMA,FEMALE,BLACK NON HISP,29,29,2012
FATOUMATA,FEMALE,BLACK NON HISP,46,15,2012
GABRIELLA,FEMALE,BLACK NON HISP,25,32,2012
GABRIELLE,FEMALE,BLACK NON HISP,42,17,2012
GENESIS,FEMALE,BLACK NON HISP,21,36,2012
GIANNA,FEMALE,BLACK NON HISP,17,40,2012
GRACE,FEMALE,BLACK NON HISP,20,37,2012
HAILEY,FEMALE,BLACK NON HISP,28,30,2012
HANNAH,FEMALE,BLACK NON HISP,22,35,2012
HARMONY,FEMALE,BLACK NON HISP,22,35,2012
