Name,Count,Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences
SMITH,1742947.00,1,73.30%,1,"2,376,206"
JOHNSON,1143082.00,2,61.60%,2,"1,857,160"
MILLER,967768.00,3,85.80%,6,"1,127,803"
BROWN,837886.00,4,60.70%,4,"1,380,145"
JONES,786173.00,5,57.70%,5,"1,362,755"
WILLIAMS,744317.00,6,48.50%,3,"1,534,042"
DAVIS,694122.00,7,64.70%,7,"1,072,335"
ANDERSON,591618.00,8,77.60%,12,"762,394"
WILSON,545943.00,9,69.70%,10,"783,051"
MARTIN,521149.00,10,77.50%,17,"672,711"
TAYLOR,488411.00,11,67.80%,13,"720,370"
MOORE,481035.00,12,68.90%,16,"698,671"
THOMPSON,467038.00,13,72.50%,19,"644,368"
WHITE,434295.00,14,67.90%,20,"639,515"
CLARK,421367.00,15,76.80%,25,"548,369"
THOMAS,394649.00,16,55.50%,14,"710,696"
HALL,355697.00,17,75.10%,30,"473,568"
BAKER,339279.00,18,82.10%,38,"413,351"
NELSON,330984.00,19,80.30%,40,"412,236"
ALLEN,325470.00,20,70.20%,32,"463,368"
YOUNG,321085.00,21,68.90%,31,"465,948"
HARRIS,319800.00,22,53.90%,24,"593,542"
KING,319582.00,23,72.80%,35,"438,986"
ADAMS,314648.00,24,76.20%,39,"413,086"
LEWIS,310904.00,25,61.00%,26,"509,930"
WALKER,307051.00,26,61.30%,28,"501,307"
WRIGHT,300771.00,27,68.30%,34,"440,367"
ROBERTS,291361.00,28,79.60%,45,"366,215"
CAMPBELL,284432.00,29,76.50%,43,"371,953"
JACKSON,279306.00,30,41.90%,18,"666,125"
PHILLIPS,277784.00,31,79.00%,47,"351,848"
HILL,275186.00,32,66.80%,41,"411,770"
SCOTT,262977.00,33,62.60%,36,"420,091"
ROBINSON,258255.00,34,51.30%,27,"503,028"
MURPHY,255576.00,35,85.00%,58,"300,501"
COOK,246213.00,36,83.50%,60,"294,795"
GREEN,245316.00,37,59.30%,37,"413,477"
LEE,242889.00,38,40.10%,22,"605,860"
EVANS,241790.00,39,70.60%,48,"342,237"
PETERSON,237333.00,40,86.30%,63,"275,041"
MORRIS,236684.00,41,75.90%,56,"311,754"
COLLINS,234953.00,42,73.90%,52,"317,848"
MITCHELL,233504.00,43,63.60%,44,"367,433"
PARKER,231803.00,44,71.50%,51,"324,246"
ROGERS,229046.00,45,77.80%,61,"294,403"
STEWART,224599.00,46,71.80%,54,"312,899"
TURNER,223787.00,47,66.70%,49,"335,663"
WOOD,222717.00,48,90.10%,75,"247,299"
CARTER,219378.00,49,60.50%,46,"362,548"
MORGAN,216891.00,50,78.50%,62,"276,400"
COX,214386.00,51,84.50%,72,"253,771"
KELLY,209324.00,52,80.40%,69,"260,385"
EDWARDS,206603.00,53,65.20%,53,"317,070"
BAILEY,198825.00,54,74.80%,66,"265,916"
WARD,197681.00,55,77.80%,71,"254,121"
REED,196597.00,56,73.50%,65,"267,443"
MYERS,194675.00,57,86.60%,85,"224,824"
SULLIVAN,192890.00,58,89.50%,92,"215,640"
COOPER,190040.00,59,70.40%,64,"270,097"
BENNETT,188853.00,60,79.00%,78,"239,055"
HUGHES,184888.00,61,80.60%,83,"229,390"
LONG,184047.00,62,82.30%,86,"223,494"
FISHER,177875.00,63,84.60%,100,"210,279"
PRICE,174106.00,64,76.10%,84,"228,756"
RUSSELL,171161.00,65,79.50%,93,"215,432"
HOWARD,170269.00,66,66.80%,70,"254,779"
GRAY,168374.00,67,71.10%,79,"236,713"
BELL,168303.00,68,63.60%,67,"264,752"
WATSON,166260.00,69,68.60%,76,"242,432"
REYNOLDS,162894.00,70,83.30%,106,"195,598"
FOSTER,159149.00,71,72.00%,87,"221,040"
ROSS,157184.00,72,71.50%,89,"219,961"
OLSON,157011.00,73,96.00%,136,"163,502"
RICHARDSON,155334.00,74,62.20%,74,"249,533"
SNYDER,151984.00,75,95.40%,144,"159,363"
POWELL,151500.00,76,70.00%,91,"216,553"
STEVENS,151302.00,77,83.40%,122,"181,417"
BROOKS,150999.00,78,62.70%,77,"240,751"
PERRY,150361.00,79,70.70%,97,"212,644"
WEST,146418.00,80,77.70%,115,"188,464"
COLE,145709.00,81,77.60%,116,"187,793"
WAGNER,145199.00,82,94.00%,152,"154,516"
MEYER,143782.00,83,96.10%,163,"149,664"
KENNEDY,142406.00,84,83.00%,130,"171,636"
BARNES,141932.00,85,67.40%,99,"210,426"
HAMILTON,141454.00,86,72.80%,107,"194,331"
GRAHAM,141364.00,87,72.80%,108,"194,074"
SCHMIDT,140441.00,88,96.50%,171,"145,565"
SANDERS,140140.00,89,63.40%,88,"220,902"
MCDONALD,139449.00,90,79.20%,127,"176,094"
PATTERSON,139169.00,91,70.10%,104,"198,557"
MURRAY,138431.00,92,77.60%,123,"178,414"
GIBSON,137522.00,93,74.60%,119,"184,420"
WALLACE,136889.00,94,71.80%,113,"190,760"
BUTLER,136544.00,95,64.70%,98,"210,879"
HAYES,134306.00,96,71.60%,117,"187,473"
BURNS,133257.00,97,82.20%,141,"162,153"
ELLIS,132484.00,98,72.80%,121,"181,934"
FOX,132356.00,99,89.80%,167,"147,357"
STONE,130927.00,100,87.40%,162,"149,802"
HENDERSON,130636.00,101,62.20%,101,"210,094"
WELLS,130212.00,102,76.30%,131,"170,635"
RYAN,130041.00,103,93.30%,177,"139,335"
JENKINS,128499.00,104,60.10%,95,"213,737"
HANSEN,127655.00,105,95.60%,193,"133,474"
WEBB,127090.00,106,77.70%,137,"163,481"
JAMES,126990.00,107,54.40%,80,"233,224"
JORDAN,126807.00,108,64.30%,105,"197,212"
GRIFFIN,126697.00,109,66.50%,114,"190,636"
HOFFMAN,126610.00,110,95.50%,195,"132,645"
HARRISON,124660.00,111,71.00%,128,"175,577"
ROSE,123754.00,112,84.20%,168,"146,924"
SIMMONS,122099.00,113,60.50%,103,"201,650"
MARSHALL,122082.00,114,68.90%,125,"177,213"
JOHNSTON,120077.00,115,93.10%,207,"128,935"
OWENS,120066.00,116,68.10%,126,"176,334"
NICHOLS,119638.00,117,84.30%,174,"141,936"
WEAVER,118975.00,118,85.70%,179,"138,811"
KELLEY,118036.00,119,85.80%,184,"137,555"
MILLS,117883.00,120,79.70%,165,"147,909"
ALEXANDER,117826.00,121,60.90%,111,"193,443"
TUCKER,117410.00,122,72.10%,139,"162,933"
PALMER,117122.00,123,77.90%,158,"150,407"
RICE,116639.00,124,79.60%,169,"146,440"
LARSON,116379.00,125,96.10%,224,"121,064"
SIMPSON,115975.00,126,73.30%,145,"158,241"
SHAW,115867.00,127,74.70%,150,"155,172"
CARLSON,115583.00,128,96.20%,225,"120,124"
HUNT,115555.00,129,76.00%,157,"151,986"
BLACK,115118.00,130,76.70%,160,"150,186"
FORD,114674.00,131,64.30%,124,"178,397"
PETERS,114311.00,132,85.20%,190,"134,231"
ARNOLD,113619.00,133,83.40%,187,"136,315"
ROBERTSON,113250.00,134,75.30%,159,"150,299"
PIERCE,112927.00,135,82.70%,186,"136,517"
DUNN,112782.00,136,82.30%,185,"136,955"
CRAWFORD,112756.00,137,71.30%,146,"158,121"
BRYANT,112039.00,138,61.00%,120,"183,761"
CARPENTER,111913.00,139,88.10%,211,"127,073"
PORTER,111660.00,140,71.20%,148,"156,848"
CARROLL,111433.00,141,85.10%,201,"131,020"
ELLIOTT,111092.00,142,83.90%,197,"132,457"
FREEMAN,110561.00,143,68.00%,140,"162,686"
MASON,110378.00,144,71.00%,149,"155,484"
FERGUSON,110305.00,145,77.50%,173,"142,256"
OBRIEN,109973.00,146,95.30%,234,"115,385"
HART,109563.00,147,82.70%,196,"132,466"
COLEMAN,108568.00,148,52.00%,102,"208,624"
WARREN,107232.00,149,72.50%,166,"147,906"
JENSEN,107210.00,150,95.40%,244,"112,332"
GARDNER,107087.00,151,77.20%,182,"138,660"
HICKS,106703.00,152,69.50%,155,"153,618"
STEPHENS,106193.00,153,76.50%,181,"138,742"
