Name,Count,Surname rank among blacks,% of people with surname self-identifying as 'black',U.S. Rank,U.S. total occurrences
WILLIAMS,716704.00,1,46.70%,3,"1,534,042"
JOHNSON,627720.00,2,33.80%,2,"1,857,160"
SMITH,527993.00,3,22.20%,1,"2,376,206"
JONES,514167.00,4,37.70%,5,"1,362,755"
BROWN,476702.00,5,34.50%,4,"1,380,145"
JACKSON,353179.00,6,53.00%,18,"666,125"
DAVIS,329957.00,7,30.80%,7,"1,072,335"
THOMAS,271273.00,8,38.20%,14,"710,696"
HARRIS,247092.00,9,41.60%,24,"593,542"
ROBINSON,221835.00,10,44.10%,27,"503,028"
TAYLOR,199326.00,11,27.70%,13,"720,370"
WILSON,198269.00,12,25.30%,10,"783,051"
MOORE,188082.00,13,26.90%,16,"698,671"
WHITE,175099.00,14,27.40%,20,"639,515"
LEWIS,172509.00,15,33.80%,26,"509,930"
WALKER,171297.00,16,34.20%,28,"501,307"
GREEN,149803.00,17,36.20%,37,"413,477"
WASHINGTON,146520.00,18,89.90%,138,"163,036"
THOMPSON,145176.00,19,22.50%,19,"644,368"
ANDERSON,137688.00,20,18.10%,12,"762,394"
SCOTT,135521.00,21,32.30%,36,"420,091"
CARTER,126856.00,22,35.00%,46,"362,548"
WRIGHT,120484.00,23,27.40%,34,"440,367"
MILLER,117404.00,24,10.40%,6,"1,127,803"
HILL,117025.00,25,28.40%,41,"411,770"
ALLEN,116491.00,26,25.10%,32,"463,368"
MITCHELL,115815.00,27,31.50%,44,"367,433"
YOUNG,110849.00,28,23.80%,31,"465,948"
LEE,105480.00,29,17.40%,22,"605,860"
MARTIN,102925.00,30,15.30%,17,"672,711"
CLARK,101613.00,31,18.50%,25,"548,369"
TURNER,98383.00,32,29.30%,49,"335,663"
HALL,98265.00,33,20.70%,30,"473,568"
KING,96665.00,34,22.00%,35,"438,986"
EDWARDS,95787.00,35,30.20%,53,"317,070"
COLEMAN,91440.00,36,43.80%,102,"208,624"
JAMES,88835.00,37,38.10%,80,"233,224"
EVANS,85730.00,38,25.00%,48,"342,237"
BELL,84138.00,39,31.80%,67,"264,752"
RICHARDSON,81772.00,40,32.80%,74,"249,533"
ADAMS,79313.00,41,19.20%,39,"413,086"
BROOKS,78653.00,42,32.70%,77,"240,751"
PARKER,78111.00,43,24.10%,51,"324,246"
JENKINS,76881.00,44,36.00%,95,"213,737"
STEWART,74564.00,45,23.80%,54,"312,899"
HOWARD,73096.00,46,28.70%,70,"254,779"
CAMPBELL,71155.00,47,19.10%,43,"371,953"
SIMMONS,71102.00,48,35.30%,103,"201,650"
SANDERS,70468.00,49,31.90%,88,"220,902"
HENDERSON,69751.00,50,33.20%,101,"210,094"
COLLINS,68973.00,51,21.70%,52,"317,848"
COOPER,68227.00,52,25.30%,64,"270,097"
WATSON,65093.00,53,26.90%,76,"242,432"
BUTLER,65056.00,54,30.80%,98,"210,879"
ALEXANDER,64262.00,55,33.20%,111,"193,443"
BRYANT,63728.00,56,34.70%,120,"183,761"
NELSON,61547.00,57,14.90%,40,"412,236"
MORRIS,60137.00,58,19.30%,56,"311,754"
BARNES,59403.00,59,28.20%,99,"210,426"
JORDAN,59282.00,60,30.10%,105,"197,212"
REED,58757.00,61,22.00%,65,"267,443"
WOODS,58511.00,62,34.70%,133,"168,814"
DIXON,58085.00,63,38.20%,156,"152,015"
ROBERTS,58082.00,64,15.90%,45,"366,215"
GRAY,57663.00,65,24.40%,79,"236,713"
PHILLIPS,57562.00,66,16.40%,47,"351,848"
GRIFFIN,56752.00,67,29.80%,114,"190,636"
BAKER,56340.00,68,13.60%,38,"413,351"
POWELL,56239.00,69,26.00%,91,"216,553"
BAILEY,56215.00,70,21.10%,66,"265,916"
FORD,56017.00,71,31.40%,124,"178,397"
HOLMES,54841.00,72,36.50%,161,"150,166"
BANKS,53857.00,73,54.20%,278,"99,294"
DANIELS,52499.00,74,37.80%,180,"138,776"
ROSS,52065.00,75,23.70%,89,"219,961"
ROGERS,51992.00,76,17.70%,61,"294,403"
PERRY,51821.00,77,24.40%,97,"212,644"
FOSTER,51259.00,78,23.20%,87,"221,040"
PATTERSON,50950.00,79,25.70%,104,"198,557"
HUNTER,49874.00,80,32.30%,153,"154,410"
OWENS,49127.00,81,27.90%,126,"176,334"
GRANT,49030.00,82,36.60%,192,"134,034"
MARSHALL,46696.00,83,26.40%,125,"177,213"
HENRY,46416.00,84,28.80%,142,"161,392"
MORGAN,45523.00,85,16.50%,62,"276,400"
PRICE,45271.00,86,19.80%,84,"228,756"
WALLACE,45267.00,87,23.70%,113,"190,760"
WARD,45157.00,88,17.80%,71,"254,121"
HAYES,45087.00,89,24.00%,117,"187,473"
BOYD,44753.00,90,29.90%,164,"149,476"
FREEMAN,44690.00,91,27.50%,140,"162,686"
GRAHAM,44094.00,92,22.70%,108,"194,074"
HAMILTON,44016.00,93,22.70%,107,"194,331"
FRANKLIN,43394.00,94,37.80%,236,"114,859"
HAWKINS,42995.00,95,32.10%,191,"134,066"
GORDON,42173.00,96,27.20%,151,"154,934"
SIMS,41975.00,97,39.10%,254,"107,244"
HARRISON,41717.00,98,23.80%,128,"175,577"
ELLIS,41117.00,99,22.60%,121,"181,934"
KELLY,40308.00,100,15.50%,69,"260,385"
HICKS,40156.00,101,26.10%,155,"153,618"
BENNETT,39468.00,102,16.50%,78,"239,055"
JOSEPH,39087.00,103,48.80%,356,"80,030"
GIBSON,38857.00,104,21.10%,119,"184,420"
CRAWFORD,38692.00,105,24.50%,146,"158,121"
JEFFERSON,38644.00,106,75.20%,594,"51,361"
WATKINS,38424.00,107,31.40%,222,"122,447"
TUCKER,38403.00,108,23.60%,139,"162,933"
PORTER,38334.00,109,24.40%,148,"156,848"
WILLIS,38165.00,110,30.40%,216,"125,627"
MASON,38062.00,111,24.50%,149,"155,484"
MATTHEWS,36765.00,112,29.40%,217,"124,839"
FIELDS,36341.00,113,35.20%,264,"103,242"
COOK,36171.00,114,12.30%,60,"294,795"
HUGHES,35441.00,115,15.50%,83,"229,390"
SIMPSON,35019.00,116,22.10%,145,"158,241"
HUDSON,34294.00,117,26.20%,202,"130,793"
COLE,34178.00,118,18.20%,116,"187,793"
WARREN,34151.00,119,23.10%,166,"147,906"
RUSSELL,34017.00,120,15.80%,93,"215,432"
WEST,33547.00,121,17.80%,115,"188,464"
REID,33293.00,122,32.00%,263,"104,007"
MURPHY,33145.00,123,11.00%,58,"300,501"
WELLS,33001.00,124,19.30%,131,"170,635"
MACK,32489.00,125,48.40%,441,"67,154"
MURRAY,32346.00,126,18.10%,123,"178,414"
DOUGLAS,32293.00,127,33.50%,286,"96,425"
BRADLEY,32021.00,128,24.40%,200,"131,289"
FRAZIER,31921.00,129,36.10%,314,"88,325"
SHAW,31391.00,130,20.20%,150,"155,172"
HARPER,30734.00,131,25.60%,226,"119,868"
GREENE,30523.00,132,25.50%,228,"119,604"
ROBERTSON,30421.00,133,20.20%,159,"150,299"
PAYNE,30408.00,134,22.00%,183,"138,028"
PERKINS,30405.00,135,24.00%,212,"126,951"
BYRD,30373.00,136,34.20%,311,"88,811"
SPENCER,30317.00,137,22.60%,189,"134,443"
WEBB,30015.00,138,18.40%,137,"163,481"
OLIVER,29931.00,139,26.80%,248,"111,641"
COX,29311.00,140,11.60%,72,"253,771"
AUSTIN,28856.00,141,25.50%,241,"113,160"
BERRY,28806.00,142,22.30%,205,"129,405"
LAWRENCE,28743.00,143,23.10%,219,"124,321"
MCDONALD,28633.00,144,16.30%,127,"176,094"
MONTGOMERY,28630.00,145,25.50%,246,"112,144"
LOVE,28400.00,146,36.30%,363,"78,323"
MCCOY,28100.00,147,26.40%,258,"106,481"
BURTON,27893.00,148,26.00%,255,"107,158"
BLACK,27875.00,149,18.60%,160,"150,186"
KNIGHT,27401.00,150,20.80%,199,"131,860"
HARVEY,27036.00,151,24.10%,247,"112,136"
ANDREWS,26950.00,152,20.80%,206,"129,320"
CUNNINGHAM,26907.00,153,20.40%,198,"131,896"
STEPHENS,26666.00,154,19.20%,181,"138,742"
ARMSTRONG,26386.00,155,20.30%,204,"129,982"
PETERSON,26349.00,156,9.60%,63,"275,041"
GLOVER,26288.00,157,41.00%,468,"64,180"
LONG,26261.00,158,11.80%,86,"223,494"
HAYNES,26260.00,159,32.00%,341,"82,037"
RILEY,26257.00,160,20.50%,210,"127,960"
HAMPTON,26233.00,161,39.50%,451,"66,378"
WADE,26114.00,162,28.10%,297,"92,834"
MILES,26055.00,163,31.80%,342,"81,933"
PALMER,26035.00,164,17.30%,158,"150,407"
NEAL,25918.00,165,30.90%,333,"83,849"
GARDNER,25888.00,166,18.70%,182,"138,660"
FERGUSON,25677.00,167,18.00%,173,"142,256"
GARRETT,25403.00,168,23.60%,253,"107,777"
TATE,25230.00,169,37.50%,440,"67,208"
SINGLETON,24925.00,170,48.10%,584,"51,797"
HUNT,24819.00,171,16.30%,157,"151,986"
REYNOLDS,24450.00,172,12.50%,106,"195,598"
CURRY,24435.00,173,34.20%,410,"71,344"
CHARLES,24358.00,174,47.30%,589,"51,518"
CHAMBERS,24325.00,175,26.90%,305,"90,325"
HARDY,24308.00,176,31.70%,374,"76,608"
HINES,24273.00,177,35.60%,432,"68,145"
LITTLE,24026.00,178,23.40%,266,"102,718"
WALTON,23812.00,179,33.50%,414,"70,997"
RICE,23811.00,180,16.30%,169,"146,440"
MILLS,23799.00,181,16.10%,165,"147,909"
FISHER,23719.00,182,11.30%,100,"210,279"
MOSLEY,23614.00,183,52.80%,699,"44,698"
CALDWELL,23364.00,184,25.60%,301,"91,338"
BOOKER,23016.00,185,65.60%,902,"35,101"
ALSTON,22867.00,186,81.40%,1140,"28,089"
CARR,22858.00,187,20.10%,239,"113,892"
LAWSON,22703.00,188,19.70%,235,"115,186"
ROBERSON,22402.00,189,42.10%,569,"53,198"
KENNEDY,22278.00,190,13.00%,130,"171,636"
TERRY,22219.00,191,26.60%,336,"83,437"
HOUSTON,22107.00,192,40.90%,563,"54,026"
BURNS,22101.00,193,13.60%,141,"162,153"
MCGEE,22074.00,194,30.70%,404,"71,925"
RAY,21985.00,195,17.10%,208,"128,794"
MYERS,21920.00,196,9.70%,85,"224,824"
FULLER,21752.00,197,20.40%,256,"106,682"
STEVENSON,21642.00,198,29.70%,395,"72,892"
THORNTON,21540.00,199,26.50%,347,"81,191"
WATTS,21523.00,200,25.00%,324,"86,228"
DUNCAN,21493.00,201,16.50%,203,"130,419"
INGRAM,21426.00,202,32.10%,446,"66,665"
PEARSON,21315.00,203,21.60%,281,"98,728"
GAINES,21299.00,204,50.30%,739,"42,369"
DORSEY,21296.00,205,51.80%,763,"41,104"
FLOWERS,21287.00,206,39.20%,560,"54,277"
PARKS,20939.00,207,24.30%,322,"86,346"
LANE,20880.00,208,16.20%,209,"128,727"
GEORGE,20805.00,209,17.40%,227,"119,778"
STEVENS,20682.00,210,11.40%,122,"181,417"
STOKES,20593.00,211,35.10%,510,"58,687"
WARE,20470.00,212,43.80%,667,"46,682"
DAWSON,20224.00,213,25.20%,355,"80,190"
REESE,19897.00,214,27.70%,405,"71,754"
DENNIS,19810.00,215,26.50%,384,"74,784"
FRANCIS,19774.00,216,27.60%,406,"71,723"
HORTON,19628.00,217,23.50%,335,"83,523"
MCKINNEY,19598.00,218,24.30%,353,"80,616"
HOLLOWAY,19563.00,219,35.30%,540,"55,466"
JENNINGS,19462.00,220,22.40%,321,"87,038"
GRAVES,19361.00,221,23.60%,340,"82,179"
TYLER,19223.00,222,30.70%,477,"62,534"
HOPKINS,19185.00,223,20.30%,289,"94,603"
FLEMING,18918.00,224,21.50%,317,"87,949"
BATTLE,18882.00,225,78.90%,1359,"23,934"
WILLIAMSON,18785.00,226,16.70%,245,"112,216"
VAUGHN,18725.00,227,22.00%,327,"85,037"
WIGGINS,18718.00,228,38.70%,641,"48,355"
DUNN,18462.00,229,13.50%,185,"136,955"
CLAY,18427.00,230,39.80%,677,"46,264"
LUCAS,18406.00,231,18.30%,275,"100,417"
JACOBS,18325.00,232,15.90%,233,"115,540"
